Registration YearManufactured
1191S 1967
14501 1968
17966 
233AH 
2440W 1967
2441W 1967
2443W 1967
2445W 1967
2446W 1967
2455W 1967
2456W 1967
2457W 
2463W 1967
2474W 1967
2476W 1967
2479W 1967
2481W 1967
2482W 1967
2486W 1967
2488W 1967
2494W 1967
2495W 1967
2498W 1967
5701S 1967
5703S 1967
5704S 1967
5708S 1967
5709S 1967
5711S 1967
5712S 1967
5715S 1967
5718S 1967
5722S 
5728S 1968
5737S 1968
5739S 1968
5750S 
111KL 1976
1161S 1972
1173S 1972
1176S 1971
1178S 1971
1179S 1972
1182S 1972
1185S 1972
1186S 1972
1187S 1972
1188S 1972
1190S 1971
1195S 1970
1196S 1970
1200S 1970
1216S 1971
1227S 1971
1228S 1971
1229S 1971
1232S 1971
1233S 1971
1237S 1971
1239S 1971
1242S 1971
17867 1973
17868 1972
17879 1972
17883 1972
17888 1972
17889 1973
17893 1973
17897 1973
17899 1973
17901 1973
17902 1973
17903 1973
17914 1973
17939 1973
17956 1973
17960 1972
17967 1973
17968 1973
17969 1973
17971 1973
2028T 1977
2030T 1976
2037T 1977
2041T 1977
2042T 1977
2044T 1977
2045T 1977
2055T 1977
2057T 1977
2060T 1977
2061T 1977
2062T 1977
233BD 
233HH 1968
233KL 1981
234WE 1981
2504H 
2519H 1976
2524H 1976
2528H 1976
2575H 
2610H 1976
2615H 1976
2621H 1976
2624H 1976
2629H 1976
2635H 1976
2637H 1976
2655H 1976
2656H 
2659H 1976
2668H 1976
2677H 1977
2689H 1978
2690H 1978
2692H 1978
2706H 1976
2724H 1978
2743H 1978
2745H 1978
2750H 1976
2793H 1978
2805H 1978
2811H 1978
2832H 1978
2838H 
2848H 1978
2890H 1979
2894H 1978
2905H 1979
2930H 1978
2953H 1979
2964H 1979
2979H 
2984H 1979
2985H 1979
2987H 
33923 1975
33928 1975
33929 1975
33933 1975
33937 1975
33941 1975
33962 1974
33966 1974
33968 1974
33983 1975
34215 1975
34292 1975
34298 1976
34367 1975
34396 1975
36133 1980
36135 
3613F 1980
3614B 1980
3616Q 1981
3622X 1982
3622Z 
500SZ 1977
5751S 1968
5755S 1968
5760S 1968
5767S 1968
5783S 1968
5786S 1968
5787S 1968
5790S 1968
5799S 1968
655JK 1974
65804 1974
65811 1973
65818 1973
65824 1973
65825 1973
65828 
65829 1974
65833 1974
65834 1974
65839 1974
65840 1974
65843 1974
65846 1974
65848 
65849 1974
65852 
65854 1974
65855 1974
65859 1974
65863 
65865 1974
65867 1974
65879 1974
65918 1974
65974 1974
65976 1974
7537  1969
7539  1970
7545  1970
7546  1970
7547  1970
7555  1970
7558  1970
7588  1970
7589  1970
7591  1970
7609  1970
7686  1970
7701S 1968
7757S 
7758S 1968
7763S 1969
7764S 1969
7767S 1969
7772S 1969
7773S 1969
7776S 1969
7780S 1969
7782S 1969
7784S 1969
7788S 1969
