date listing closed,year manufactured,num flight hours,est flight hours per year
2020-06-13,1972,5700,118.75
2019-12-23,1972,1972,41.9574
2019-08-01,1979,1979,49.475
2019-08-01,1979,3200,80
2019-01-16,1970,3495,71.3265
2019-02-14,4000,4000,-2.01918
2019-01-07,1974,4447,98.8222
2019-04-12,1977,2795,66.5476
2018-10-12,1970,4711,98.1458
2018-10-08,1967,3000,58.8235
2018-06-05,1968,6790,135.8
2018-01-07,1974,4447,101.068
2018-07-08,1968,2964,59.28
2017-09-20,1967,2267,45.34
2017-03-25,1970,2668,56.766
2017-03-06,1969,2786,58.0417
2017-10-05,1977,2083,52.075
2016-12-11,1973,3657,85.0465
2016-12-11,1977,,0
average hours/year: 
67.1182

